STATS,Player,P,Age,Exp,G,MPG,PPG,RPG,APG,BPG,SPG,2pt,3pt,ft,ORPG,DRPG,TPG,ADP,O,FPPG,FPPM
"PJ Tucker
(PHO)",Add,GF,29,3,81,30.7,9.4,6.5,1.7,0.3,1.4,0.45,0.39,0.78,2,4.5,1.3,143.2,42,18,0.59
"Brandon Bass
(BOS)",Remove,F,29,9,82,27.6,11.1,5.7,1.1,0.9,0.4,0.49,0.33,0.86,2,3.8,1.2,151.1,50,18,0.65
"Jordan Hill
(LAL)",Add,FC,27,5,73,20.6,9.5,7.3,0.7,0.9,0.4,0.55,0,0.69,2.7,4.7,1,81.8,69,17.9,0.87
"Vince Carter
(MEM)",Add,GF,37,16,81,24.4,11.9,3.5,2.6,0.4,0.8,0.42,0.39,0.82,0.8,2.7,1.3,126.8,62,17.9,0.73
"Kendall Marshall
(MIL)",Remove,G,23,2,54,29,8,2.9,8.8,0.1,0.9,0.41,0.4,0.53,0.3,2.6,2.8,174.8,54,17.9,0.62
"Ramon Sessions
(*FA)",Add,G,28,7,81,26.7,12.3,2.4,4,0.1,0.6,0.45,0.28,0.81,0.5,2,1.8,182.3,42,17.8,0.67
"Mike Dunleavy
(CHI)",Remove,GF,33,13,82,31.5,11.3,4.2,2.3,0.6,0.8,0.47,0.38,0.85,0.6,3.6,1.3,166.4,47,17.8,0.56
"Channing Frye
(ORL)",Remove,FC,31,9,82,28.2,11.1,5.1,1.2,0.8,0.7,0.51,0.37,0.82,0.9,4.2,1.1,112.1,54,17.8,0.63
"Josh McRoberts *
(MIA)",Add,F,27,7,78,30.3,8.5,4.8,4.3,0.6,0.7,0.52,0.36,0.73,1.1,3.7,1.1,147.4,50,17.8,0.59
"Khris Middleton
(MIL)",Add,F,23,2,82,30,12.1,3.8,2.1,0.2,1,0.45,0.41,0.86,0.7,3,1.5,187.2,43,17.7,0.59
"Tony Wroten
(PHI)",Remove,G,21,2,72,24.5,13,3.2,3,0.2,1.1,0.49,0.21,0.64,1,2.2,2.8,137.2,50,17.7,0.72
"George Hill
(IND)",Remove,G,28,6,76,32.1,10.3,3.7,3.5,0.3,1,0.5,0.37,0.81,0.7,3,1.2,105.3,54,17.6,0.55
"Corey Brewer
(MIN)",Remove,GF,28,7,81,32.2,12.3,2.6,1.7,0.4,1.9,0.55,0.28,0.72,0.8,1.8,1.3,165.2,47,17.4,0.54
"Rodney Stuckey
(IND)",Remove,G,28,7,73,26.7,13.9,2.3,2.1,0.1,0.7,0.45,0.27,0.84,0.5,1.8,1.7,129.4,50,17.4,0.65
"Mario Chalmers
(MIA)",Remove,G,28,6,73,29.9,9.8,2.9,4.9,0.2,1.6,0.5,0.39,0.74,0.6,2.4,2.2,141.3,47,17.3,0.58
"Chris Kaman
(POR)",Remove,C,32,11,39,18.9,10.4,5.9,1.5,1,0.3,0.51,0,0.76,1.4,4.5,1.9,153.7,51,17.1,0.91
"Darren Collison
(SAC)",Remove,G,27,5,80,25.9,11.4,2.4,3.7,0.2,1.2,0.5,0.38,0.86,0.6,1.8,1.7,118.9,51,17.1,0.66
"Larry Sanders *
(MIL)",Add,C,25,4,23,25.5,7.7,7.2,0.8,1.7,0.8,0.47,0,0.47,2.6,4.6,1.1,108.1,66,17.1,0.67
"Patrick Beverley
(HOU)",Remove,G,26,2,56,31.2,10.2,3.5,2.7,0.4,1.4,0.47,0.36,0.81,1.3,2.2,1.2,141,50,17,0.54
