FAN,STATS,Player,P,Age,Exp,G,MPG,PPG,RPG,APG,BPG,SPG,2pt,3pt,ft,ORPG,DRPG,TPG,ADP,O,FPPG,FPPM
,"Andray Blatche
(*FA)",Add,FC,28,9,26,24,8.5,5.8,1.1,0.7,0.8,0.38,0.29,0.67,1.6,4.2,1.4,115.8,69,21.2,0.88
IPA,"Derrick Favors
(UTA)",Add,FC,23,4,65,21.2,8.8,6.5,0.7,1,0.6,0.5,0,0.65,2.4,4.1,1.6,44.3,94,21.2,1
,"Samuel Dalembert
(NYK)",Add,C,33,12,65,22.3,7.5,7,0.5,1.7,0.6,0.51,0,0.8,2.4,4.6,1.3,143.2,52,21.1,0.95
,"Danny Green
(SAS)",Add,GF,27,5,66,23.1,9.1,3.5,1.3,0.7,0.9,0.45,0.44,0.79,0.8,2.6,1,134.5,57,20.8,0.9
,"Matt Barnes
(LAC)",Add,F,34,11,63,22.8,7.8,5.5,2,0.8,0.6,0.52,0.33,0.74,1.5,3.9,1.2,203,44,20.8,0.91
,"Byron Mullens
(*FA)",Add,FC,25,5,65,22.6,9.3,5,0.9,0.8,0.3,0.44,0.24,0.82,1.5,3.6,1.1,138.2,18,20.8,0.92
,"Brandon Rush
(GSW)",Add,G,29,6,65,26.5,9.8,3.8,1.4,0.9,0.5,0.54,0.45,0.79,0.5,3.3,1,234.8,11,20.7,0.78
PRO,"Kawhi Leonard
(SAS)",Add,GF,23,3,64,24,7.9,5.1,1.1,0.4,1.3,0.54,0.38,0.77,1.6,3.5,0.7,46.5,82,20.7,0.86
,"Patty Mills *
(SAS)",Add,G,26,5,16,16.3,10.3,1.8,2.4,0.1,0.6,0.53,0.43,1,0.3,1.5,1.6,153.3,56,20.4,1.25
,"JJ Hickson *
(DEN)",Add,FC,26,6,54,23,8.4,6.2,0.8,0.6,0.6,0.47,0,0.64,2.5,3.7,1.3,84.3,82,20.4,0.89
,"Chase Budinger
(MIN)",Add,GF,26,5,58,22.4,9.6,3.7,1.3,0.1,0.5,0.48,0.4,0.77,0.7,3.1,0.9,222.3,33,20.2,0.9
,"Tiago Splitter
(SAS)",Add,FC,29,4,59,19,9.3,5.2,1.1,0.8,0.4,0.62,0,0.69,1.6,3.6,1.5,102,76,20.2,1.06
,"Jordan Farmar
(LAC)",Add,G,27,8,39,21.3,10.4,1.6,3.3,0.1,0.6,0.48,0.44,0.9,0.2,1.4,1.7,154.3,52,20.1,0.95
,"Tristan Thompson
(CLE)",Add,F,23,3,60,23.7,8.2,6.5,0.4,1,0.4,0.44,0,0.55,3.1,3.4,1.4,109.1,56,20,0.85
,"Linas Kleiza
(*FA)",Add,F,29,8,49,21.5,9.7,4.1,0.9,0.1,0.5,0.45,0.35,0.81,0.9,3.2,1.3,261.8,2,19.8,0.92
,"Taj Gibson
(CHI)",Add,F,29,5,63,20.4,7.7,5.3,0.7,1.3,0.4,0.5,0,0.62,2.1,3.1,1,110.7,69,19.8,0.97
,"Tyler Hansbrough
(TOR)",Add,FC,28,5,66,21.9,9.3,4.4,0.5,0.1,0.8,0.41,0,0.81,1.7,2.7,1,263,37,19.7,0.9
,"Cartier Martin
(DET)",Add,GF,29,6,17,23.2,9.3,3.4,0.6,0.1,0.6,0.51,0.39,0.58,0.7,2.7,0.8,194.6,13,19.6,0.84
,"Corey Brewer
(MIN)",Add,GF,28,7,59,21.8,8.9,2.5,1.5,0.3,1.2,0.5,0.26,0.69,0.7,1.8,0.9,165.2,45,19.6,0.9
,"Derrick Williams
(SAC)",Add,F,23,3,66,21.5,8.8,4.7,0.6,0.5,0.5,0.47,0.27,0.7,1.2,3.5,1.2,191.2,38,19.2,0.89
,"Boris Diaw
(SAS)",Add,FC,32,11,56,25.2,6.5,4.9,3.6,0.4,0.6,0.49,0.31,0.63,1.3,3.7,2,121.4,68,18.9,0.75
,"CJ Miles
(IND)",Add,G,27,9,56,20.5,9.1,2.1,1.2,0.3,0.8,0.42,0.31,0.79,0.5,1.6,0.9,222.3,44,18.8,0.92
,"Amir Johnson
(TOR)",Add,FC,27,9,64,24.3,7.1,6.4,1.2,1.1,0.5,0.58,0.4,0.69,2.3,4,1.5,111.3,61,18.8,0.77
,"Patrick Patterson
(TOR)",Add,F,25,4,64,23.2,7.7,4.5,0.8,0.6,0.4,0.44,0,0.7,1.8,2.7,0.8,188,49,18.7,0.8
,"Ronnie Brewer
(*FA)",Add,G,29,8,66,24.7,6.9,3.5,2.1,0.3,1.1,0.45,0.28,0.56,1.1,2.4,0.9,204.6,6,18.7,0.76
,"Markieff Morris
(PHO)",Add,F,25,3,63,19.5,7.4,4.4,1,0.7,0.7,0.42,0.35,0.72,1.1,3.3,1.1,77.9,69,18.4,0.94
,"Ed Davis
(LAL)",Add,FC,25,4,66,23.2,6.3,6.6,0.9,0.9,0.6,0.52,0,0.67,2,4.6,1,199.6,44,18.2,0.79
,"Kyle Korver
(ATL)",Add,GF,33,11,65,22.6,8.1,2.4,1.7,0.2,0.6,0.43,0.43,0.83,0.4,2,0.8,124.4,63,18.1,0.8
,"Daniel Gibson
(*FA)",Add,G,28,8,35,26.1,7.3,2.9,2.2,0.5,0.7,0.29,0.39,0.79,0.3,2.5,1.3,220.7,2,17.8,0.68
,"John Salmons
(NOR)",Add,GF,34,12,47,27.1,7.5,2.9,2,0.1,0.8,0.47,0.29,0.63,0.4,2.4,1,217.5,19,17.5,0.65
,"Lamar Odom
(*FA)",Add,F,34,15,50,20.6,6.6,4.2,1.7,0.4,0.4,0.4,0.25,0.59,0.7,3.4,1,186.2,2,17.5,0.85
,"Jodie Meeks
(DET)",Add,G,27,5,66,25,8.4,2.4,0.8,0,0.6,0.47,0.36,0.91,0.3,2.2,0.4,125.1,44,17.3,0.69
,"Charlie Villanueva
(DET)",Add,F,30,9,13,13.8,7,3.7,0.5,0.4,0.5,0.43,0.33,0.86,0.7,3,0.5,226.8,7,16.9,1.22
,"Gustavo Ayon *
(ATL)",Add,FC,29,3,54,20.1,5.9,4.9,1.4,0.9,1,0.54,0,0.62,1.6,3.3,0.9,208.7,30,16.6,0.82
,"Jason Maxiell
(*FA)",Add,F,31,9,65,22.6,6.5,5.1,0.6,0.8,0.5,0.48,0,0.55,1.9,3.2,1.1,242.7,13,16.5,0.73
,"Ekpe Udoh
(*FA)",Add,F,27,4,61,21.2,5.6,4.2,0.9,1.7,0.7,0.43,0,0.75,1.6,2.5,0.9,260.1,25,16.3,0.77
,"Matt Bonner
(SAS)",Add,F,34,10,64,20.8,6.7,3.3,1,0.3,0.2,0.49,0.42,0.76,0.5,2.9,0.2,187.3,2,16.3,0.79
,"Kirk Hinrich
(CHI)",Add,G,33,11,48,25.7,6.6,2.1,2.8,0.2,0.8,0.47,0.35,0.78,0.2,1.9,1.2,219.4,38,16.2,0.63
,"Steve Novak
(UTA)",Add,F,31,8,53,19.1,8.6,2,0.2,0.2,0.3,0.52,0.46,0.84,0.2,1.8,0.4,240.8,6,16.1,0.84
,"Brendan Haywood *
(CLE)",Add,C,34,13,54,21.2,5.2,6,0.4,1,0.4,0.52,0,0.47,2.6,3.4,0.9,224.1,6,16,0.76
,"Brandan Wright
(DAL)",Add,FC,26,6,49,16.2,6.9,3.6,0.3,1.3,0.4,0.62,0,0.63,1.3,2.3,0.4,131.6,68,16,0.99
,"Anthony Randolph
(*FA)",Add,F,25,6,34,15.2,7.4,3.6,0.6,1,0.4,0.47,0,0.76,1.2,2.4,1.2,220.6,21,15.8,1.04
,"Mickael Pietrus
(*FA)",Add,GF,32,11,42,22,6.9,3.1,0.6,0.2,0.5,0.49,0.34,0.65,0.4,2.7,0.8,237.6,2,15.8,0.72
,"Kenyon Martin
(*FA)",Add,F,36,14,42,22.3,5.2,4.3,0.4,1,1,0.45,0.23,0.37,1.2,3.1,0.8,227.7,13,15.8,0.71
,"Kwame Brown
(*FA)",Add,FC,32,13,9,20.8,6.3,6.3,0.4,0,0.9,0.53,0,0.44,1.8,4.6,1.6,261.8,6,15.7,0.76
VIC,"Nikola Vucevic *
(ORL)",Add,C,23,3,51,15.9,5.5,4.8,0.6,0.7,0.4,0.45,0.38,0.53,1.7,3.1,0.6,38.1,94,15.7,0.98
,"Martell Webster *
(WAS)",Add,GF,27,9,47,24.3,6.9,3.6,0.9,0.4,0.7,0.48,0.34,0.79,0.9,2.7,1,246,33,15.6,0.64
,"Jermaine ONeal
(*FA)",Add,C,35,18,25,22.7,5,5.4,0.4,1.7,0.3,0.43,0,0.68,1.5,3.9,0.8,177,32,15.6,0.69
,"Bismack Biyombo
(CHA)",Add,FC,22,3,63,23.1,5.2,5.8,0.4,1.8,0.3,0.46,0,0.48,1.8,4,1.1,153.3,45,15.5,0.67
,"Al-Farouq Aminu
(DAL)",Add,F,23,4,66,22.5,6,4.7,1,0.5,0.9,0.43,0.28,0.75,1.4,3.2,1.4,195,38,15.5,0.69
,"Toney Douglas
(MIA)",Add,G,28,5,37,17.8,6.4,1.9,2.1,0,0.8,0.39,0.23,0.85,0.4,1.5,1.5,263.4,11,15.4,0.87
,"Kosta Koufos
(MEM)",Add,C,25,6,48,16.5,5.5,5.4,0.3,0.9,0.5,0.6,0,0.6,2,3.4,0.7,206.5,49,15.2,0.92
,"Manny Harris
(*FA)",Add,G,24,4,24,18.9,7.2,2.9,1.3,0.2,0.5,0.42,0.33,0.69,0.5,2.4,1.1,161.7,6,15,0.79
,"Chris Andersen
(MIA)",Add,C,36,12,32,15.2,5.2,4.6,0.2,1.4,0.6,0.55,0,0.61,1.5,3.1,0.5,223,50,15,0.99
,"Jimmer Fredette
(NOR)",Add,G,25,3,61,18.6,7.6,1.2,1.8,0,0.5,0.41,0.36,0.83,0.3,0.9,1.1,230.3,21,14.9,0.8
,"Avery Bradley
(BOS)",Add,G,23,4,63,21.1,7.4,1.8,1.4,0.2,0.7,0.51,0.35,0.79,0.5,1.3,1.2,142.1,45,14.7,0.7
,"Willie Green
(ORL)",Add,G,33,11,53,17.4,7.6,1.5,0.8,0.1,0.4,0.49,0.44,0.86,0.3,1.2,0.6,239.8,6,14.6,0.84
,"Wesley Johnson
(LAL)",Add,GF,27,4,65,22.6,6,2.7,0.9,0.7,0.5,0.46,0.31,0.71,0.4,2.4,0.9,206,40,14.5,0.64
,"Ivan Johnson
(DAL)",Add,F,30,3,56,16.7,6.4,4,0.6,0.3,0.8,0.52,0.33,0.72,1.2,2.9,1.2,237.9,2,14.4,0.86
,"Alec Burks
(UTA)",Add,G,23,3,59,15.9,7.2,2.2,0.9,0.1,0.5,0.44,0.33,0.73,1,1.3,0.9,146.4,49,14.3,0.9
,"Steve Blake
(POR)",Add,G,34,11,53,23.4,5.2,1.6,3.3,0,0.7,0.44,0.34,0.78,0.2,1.4,1.4,243.8,37,14.1,0.6
,"Shane Battier
(*FA)",Add,F,36,13,65,23.1,4.8,2.4,1.3,0.5,1,0.47,0.34,0.62,0.9,1.5,0.6,190.6,11,13.8,0.6
PRO,"Jordan Hill
(LAL)",Add,FC,27,5,39,14.2,5,4.8,0.4,0.7,0.4,0.51,0,0.64,1.6,3.2,0.8,79.6,69,13.6,0.96
,"Timofey Mozgov
(DEN)",Add,C,28,4,44,15.6,5.4,4.1,0.5,1,0.3,0.53,0,0.68,1.2,2.9,1.2,109.3,64,13.6,0.87
,"Donald Sloan
(IND)",Add,G,26,3,33,20.3,5.5,2,3.2,0.1,0.4,0.45,0.08,0.77,0.5,1.5,1.5,162.4,6,13.5,0.66
,"Chris Singleton
(*FA)",Add,F,24,3,66,21.7,4.6,3.5,0.7,0.5,1.1,0.39,0.35,0.68,0.7,2.9,0.6,244.5,13,13.4,0.62
,"Shaun Livingston *
(GSW)",Add,G,29,9,57,19.1,5.6,2.2,2.1,0.4,0.5,0.47,0.67,0.78,0.7,1.5,1.2,199.8,40,13.1,0.69
,"Robin Lopez
(POR)",Add,C,26,6,64,14,5.4,3.3,0.3,0.9,0.3,0.46,0,0.71,1.4,1.9,0.7,86.7,76,13,0.93
,"Wayne Ellington
(SAC)",Add,G,26,5,51,19.2,6.1,1.9,0.6,0.2,0.5,0.45,0.32,0.8,0.3,1.6,0.5,275.1,6,13,0.68
,"Thabo Sefolosha
(ATL)",Add,GF,30,8,42,21.7,4.8,3,1.1,0.4,0.9,0.43,0.44,0.88,0.5,2.5,1,192.4,40,13,0.6
,"Jan Vesely
(*FA)",Add,F,24,3,57,18.9,4.7,4.4,0.8,0.6,0.7,0.54,0,0.53,1.8,2.6,1.1,249.3,14,12.9,0.68
,"Hakim Warrick
(*FA)",Add,F,32,9,36,14,6.2,2.6,0.8,0.1,0.2,0.43,0.1,0.77,0.9,1.7,1,288.6,2,12.5,0.9
,"Omer Asik
(NOR)",Add,C,28,4,65,15,3.2,5.4,0.5,1,0.5,0.51,0,0.46,2,3.4,1,96.8,68,12.4,0.83
,"Josh Harrellson
(*FA)",Add,FC,25,3,37,14.5,4.4,3.9,0.3,0.5,0.6,0.48,0.34,0.62,1.3,2.6,0.5,238.7,14,12.4,0.85
,"Aaron Gray
(DET)",Add,C,29,7,49,16.6,3.9,5.7,0.6,0.3,0.4,0.52,0,0.53,1.7,4,1,255.3,18,12.2,0.74
,"Jeremy Tyler
(SAC)",Add,FC,23,3,41,13.9,5,3.4,0.4,0.5,0.4,0.42,0,0.56,1.3,2.1,0.9,174,21,11.9,0.86
,"Larry Sanders *
(MIL)",Add,C,25,4,51,12.6,3.6,3.1,0.6,1.5,0.6,0.46,0,0.47,1.2,1.9,0.8,100.1,64,11.8,0.94
,"Xavier Henry *
(LAL)",Add,G,23,4,45,16.9,5.3,2.4,0.8,0.2,0.6,0.39,0.41,0.61,0.5,1.8,0.8,252,33,11.7,0.69
,"Eric Maynor
(*FA)",Add,G,27,5,9,15.2,4.2,1.4,2.4,0,0.6,0.36,0.35,1,0.3,1.1,1.2,292.5,6,11.6,0.76
,"Roger Mason-Jr
(*FA)",Add,G,34,9,48,14.4,6,1.4,1,0.1,0.3,0.42,0.39,0.78,0.1,1.3,0.7,218.5,2,11.5,0.8
,"Joel Anthony
(BOS)",Add,C,32,7,64,21.1,3.4,3.9,0.1,1.3,0.6,0.56,0,0.69,1.6,2.3,0.7,136.2,6,11.4,0.54
,"Enes Kanter
(UTA)",Add,C,22,3,66,13.2,4.6,4.2,0.1,0.3,0.3,0.5,0,0.67,1.6,2.6,0.8,90.6,64,11.3,0.86
,"Chuck Hayes
(TOR)",Add,F,31,9,54,19.3,3.2,4.3,1.4,0.3,0.7,0.43,0,0.67,1.3,3,0.9,271.2,11,11.1,0.58
,"Von Wafer
(*FA)",Add,G,44,7,33,14.2,5.9,1.4,0.9,0.1,0.3,0.48,0.36,0.7,0.2,1.2,1.1,142,2,11.1,0.78
,"Greg Stiemsma
(*FA)",Add,C,28,3,54,14,3,3.3,0.5,1.6,0.7,0.55,0,0.71,0.9,2.4,0.6,219.5,21,11,0.79
,"AJ Price
(*FA)",Add,G,27,5,43,13.2,4,1.4,2,0,0.5,0.38,0.3,0.8,0.3,1.1,0.7,279.1,2,10.8,0.82
,"DeMarre Carroll
(ATL)",Add,F,28,5,24,14.5,4.5,2.2,0.8,0,0.5,0.42,0.37,0.88,1.2,1,0.5,130.4,45,10.8,0.74
,"Jamaal Tinsley
(*FA)",Add,G,36,11,37,13.7,3.7,1.2,3.3,0.2,0.5,0.45,0.27,0.76,0.2,1.1,1.4,261.7,2,10.8,0.79
,"Tobias Harris
(ORL)",Add,F,22,3,41,11.8,5.1,2.4,0.5,0.2,0.3,0.5,0.27,0.81,0.7,1.7,0.7,89,69,10.5,0.9
,"Anthony Tolliver
(PHO)",Add,F,29,6,51,17.4,4.1,3,0.4,0.4,0.4,0.57,0.25,0.75,1,2,0.7,255.6,25,10.3,0.59
,"Travis Outlaw
(NYK)",Add,F,29,11,39,12.7,4.3,1.6,0.4,0.5,0.5,0.38,0.27,0.67,0.5,1.1,0.5,249.7,18,10.1,0.79
VAL,"Eric Bledsoe
(PHO)",Add,G,24,4,40,11.6,3.3,1.6,1.6,0.4,0.8,0.45,0.2,0.64,0.6,1.1,1.2,56.5,88,9.5,0.83
,"Josh McRoberts *
(MIA)",Add,F,27,7,49,14.7,2.8,3.5,1,0.4,0.3,0.48,0.43,0.64,1.2,2.2,0.6,147.8,50,9.4,0.64
,"Reggie Jackson
(OKL)",Add,G,24,3,45,11.1,3.1,1.2,1.6,0,0.6,0.39,0.21,0.86,0.3,0.9,0.8,104.2,64,8.9,0.8
,"Earl Clark
(*FA)",Add,F,26,5,45,12.4,2.7,2.8,0.4,0.7,0.3,0.37,0,0.72,0.8,2,0.6,199.6,18,8.6,0.69
,"Reggie Evans
(SAC)",Add,F,34,12,56,13.8,1.9,4.8,0.3,0.1,0.6,0.47,0,0.51,1.8,3.1,0.8,179.2,30,8.6,0.62
,"Ish Smith
(HOU)",Add,G,26,4,25,9.4,2.9,1.4,1.6,0.1,0.6,0.39,0.33,0.7,0.3,1.1,0.5,150.5,14,8.5,0.9
,"Andris Biedrins
(*FA)",Add,FC,28,10,47,15.8,1.7,3.7,0.3,1,0.5,0.61,0,0.11,1,2.8,0.3,220.2,6,8.3,0.52
,"Daniel Orton
(*FA)",Add,C,24,3,16,11.7,2.8,2.4,0.3,0.6,0.5,0.59,0,0.44,1.2,1.3,0.4,220.6,6,8.3,0.71
,"Ryan Hollins
(*FA)",Add,C,29,8,37,13.9,3.5,2.2,0.2,0.5,0.1,0.55,0,0.54,0.9,1.3,0.9,290.5,11,7.5,0.54
,"ETwaun Moore
(*FA)",Add,G,25,3,36,9.2,3.1,0.9,0.9,0.1,0.3,0.38,0.39,1,0.1,0.8,0.6,244.1,25,7.3,0.79
,"Jeff Adrien
(HOU)",Add,F,28,4,8,8,2.6,2.8,0.1,0.2,0,0.44,0,0.58,0.6,2.1,0.3,187.3,38,7.2,0.9
,"Chris Wright
(MIL)",Add,F,25,3,22,8.5,3.1,2,0.2,0.6,0.3,0.5,0,0.77,0.9,1.2,0.4,115,7,7.2,0.85
,"Jeremy Evans
(UTA)",Add,F,26,4,28,7.7,2.2,1.8,0.5,0.9,0.2,0.66,0,0.5,0.7,1.1,0.2,215.6,37,7.1,0.92
,"Jeremy Pargo
(*FA)",Add,G,28,3,41,10.4,3.1,0.9,1.3,0,0.4,0.36,0.26,0.59,0.3,0.6,1.1,248.4,2,7.1,0.68
VI�,"Lance Stephenson
(CHA)",Add,G,24,4,42,10.6,2.5,1.3,1.1,0.1,0.5,0.45,0.13,0.47,0.3,1,0.9,56.9,83,7,0.67
,"Ryan Gomes
(*FA)",Add,F,32,9,33,12.8,2.2,1.8,0.4,0,0.5,0.41,0.14,0.73,0.4,1.4,0.5,234.9,2,7,0.55
,"Cory Joseph
(SAS)",Add,G,23,3,26,10.2,2.2,1,1.3,0.1,0.3,0.35,0.2,0.65,0.2,0.8,0.5,192.7,33,6.8,0.67
,"Jimmy Butler
(CHI)",Add,GF,25,3,39,9.2,2.8,1.4,0.4,0.1,0.3,0.44,0.18,0.77,0.6,0.8,0.4,98.4,68,6.7,0.72
,"Greg Smith
(DAL)",Add,C,23,3,8,8.6,1.8,2.5,0.1,0.6,0.2,0.64,0,0,0.6,1.9,0.1,213.2,21,6.4,0.75
,"Hamed Haddadi
(*FA)",Add,C,29,6,34,6.1,2.1,2.1,0.2,0.8,0,0.55,0,0.69,0.8,1.3,0.6,162.8,2,6.2,1.01
,"Marcus Morris
(PHO)",Add,F,25,3,17,7.4,2.4,0.9,0.2,0.1,0.1,0.38,0.12,0.75,0.3,0.6,0.2,176.3,44,5.5,0.75
,"Jeff Ayres
(SAS)",Add,F,27,4,20,5.2,1.7,1.6,0.2,0.1,0.2,0.42,0,0.57,0.6,1.1,0.1,251.7,18,5.2,0.99
,"Hasheem Thabeet
(PHI)",Add,C,27,5,20,7,1.8,2.1,0,0.5,0,0.52,0,0.65,0.8,1.3,0.4,266.7,7,4.9,0.69
,"Darius Morris
(POR)",Add,G,23,3,19,8.9,2.4,0.8,1.1,0,0.1,0.42,0.44,0.67,0.1,0.7,1,308.5,2,4.8,0.54
,"Jason Collins
(*FA)",Add,C,35,13,30,10.2,1.3,1.6,0.3,0.1,0.1,0.4,0,0.47,0.4,1.2,0.3,251.4,2,4.6,0.45
,"Hamady Ndiaye
(*FA)",Add,C,27,4,3,1,0,0,0,0,0,0,0,0,0,0,0,61,2,-0.8,-0.8
