FAN,STATS,Player,P,Age,Exp,G,MPG,PPG,RPG,APG,BPG,SPG,2pt,3pt,ft,ORPG,DRPG,TPG,ADP,O,FPPG,FPPM
,"Enes Kanter
(UTA)",Add,C,22,3,70,15.4,7.3,4.3,0.4,0.5,0.4,0.54,1,0.79,1.9,2.4,1.4,90.6,64,14.2,0.92
,"Terrence Jones
(HOU)",Add,F,22,2,20,14.7,5.4,3.6,0.8,1,0.6,0.5,0.24,0.68,1.6,2.1,0.7,86.1,71,14.2,0.97
,"Shaun Livingston *
(GSW)",Add,G,29,9,66,22,6.3,2.4,3.3,0.5,0.7,0.49,0,0.87,0.5,1.9,1.2,199.8,40,14,0.64
,"Shane Battier
(*FA)",Add,F,36,13,72,24.8,6.6,2.3,1,0.8,0.6,0.35,0.43,0.84,0.5,1.8,0.5,190.6,11,14,0.56
,"Boris Diaw
(SAS)",Add,FC,32,11,75,22.8,5.8,3.4,2.4,0.4,0.7,0.58,0.38,0.72,0.9,2.5,1.1,121.4,68,13.9,0.61
,"Lamar Odom
(*FA)",Add,F,34,15,82,19.7,4,5.9,1.7,0.7,0.8,0.46,0.2,0.48,1.4,4.4,1,186.2,2,13.9,0.71
,"Stephen Jackson
(*FA)",Add,GF,36,14,55,19.6,6.2,2.8,1.5,0.3,0.7,0.48,0.27,0.7,0.4,2.4,1.4,284.6,6,13.9,0.71
,"Kris Humphries
(WAS)",Add,FC,29,10,65,18.3,5.8,5.6,0.5,0.5,0.2,0.45,0,0.79,1.9,3.7,0.9,134.5,57,13.9,0.76
,"Jared Sullinger
(BOS)",Add,FC,22,2,45,19.8,6,5.9,0.8,0.5,0.5,0.5,0.2,0.75,2,3.8,0.6,61,88,13.7,0.69
,"Linas Kleiza
(*FA)",Add,F,29,8,20,18.8,7.4,2.6,0.8,0.1,0.2,0.36,0.3,0.84,0.5,2.1,0.7,261.8,2,13.7,0.73
,"Trevor Booker
(UTA)",Add,F,26,4,47,18.9,5.4,5.1,0.9,0.3,0.7,0.5,0,0.56,2.1,3,0.7,247.5,40,13.5,0.72
,"Hakim Warrick
(*FA)",Add,F,32,9,28,17.4,6.9,3.2,0.9,0.2,0.5,0.41,0,0.68,0.8,2.4,1,288.6,2,13.4,0.77
,"Alec Burks
(UTA)",Add,G,23,3,64,17.8,7,2.3,1.4,0.2,0.5,0.44,0.36,0.71,0.6,1.7,1.2,146.4,49,13.4,0.76
,"Ivan Johnson
(DAL)",Add,F,30,3,69,15,6.6,3.9,0.7,0.2,0.8,0.54,0.08,0.62,1.1,2.8,1,237.9,2,13.4,0.89
,"Aaron Brooks
(CHI)",Add,G,29,6,53,18.6,7.1,1.5,2.2,0.2,0.5,0.52,0.37,0.79,0.2,1.2,1.3,183.4,40,13.1,0.71
,"DeMarre Carroll
(ATL)",Add,F,28,5,66,16.8,6,2.8,0.9,0.3,0.9,0.51,0.29,0.77,1.3,1.5,0.5,130.4,45,13,0.77
,"Jimmer Fredette
(NOR)",Add,G,25,3,67,14.5,7.4,1.1,1.4,0,0.5,0.42,0.42,0.86,0.3,0.8,1,230.3,21,12.9,0.89
