FAN,STATS,Player,P,Age,Exp,G,MPG,PPG,RPG,APG,BPG,SPG,2pt,3pt,ft,ORPG,DRPG,TPG,ADP,O,FPPG,FPPM
MAC,"LeBron James
(CLE)",Add,F,29,11,76,37.9,26.8,8,7.2,0.9,1.7,0.6,0.41,0.75,1.3,6.8,3,4,94,55.6,1.47
CAM,"Kevin Durant
(OKL)",Add,F,25,7,81,38.4,28.2,7.8,4.6,1.3,1.4,0.54,0.41,0.91,0.5,7.3,3.4,2.1,94,53.6,1.39
VIC,"Carmelo Anthony *
(NYK)",Add,F,30,11,67,37,28.7,6.9,2.6,0.5,0.8,0.48,0.38,0.83,2,4.9,2.6,10,95,51.3,1.39
VIS,"Kobe Bryant *
(LAL)",Add,GF,36,18,78,38.7,27.3,5.6,6,0.3,1.4,0.51,0.32,0.84,0.8,4.7,3.7,36.2,88,51.1,1.32
SAN,"Russell Westbrook
(OKL)",Add,G,25,6,82,34.8,23.2,5.2,7.5,0.3,1.8,0.47,0.33,0.8,1.3,3.9,3.3,11.7,90,48,1.38
PN,"James Harden
(HOU)",Add,G,25,5,78,38.1,25.7,4.9,5.7,0.5,1.8,0.47,0.37,0.85,0.8,4.1,3.8,10.6,90,47.7,1.25
ST.,"Kevin Love
(CLE)",Add,FC,26,6,18,34.4,18.3,14,2.3,0.5,0.7,0.41,0.22,0.7,3.6,10.4,2.2,5.9,95,45.8,1.33
MAC,"Stephen Curry
(GSW)",Add,G,26,5,78,38.3,22.9,4,6.9,0.2,1.6,0.45,0.45,0.9,0.8,3.3,3.1,9,94,44.7,1.17
BEL,"LaMarcus Aldridge
(POR)",Add,FC,29,8,74,37.7,21.1,9.1,2.6,1.2,0.8,0.49,0.14,0.81,2.4,6.7,1.9,7.3,95,43.4,1.15
CEN,"Dwyane Wade
(MIA)",Add,G,32,11,69,34.6,21.2,5,5.1,0.8,1.9,0.54,0.26,0.72,1.2,3.7,2.8,35.9,94,42.5,1.23
CEN,"Kyrie Irving
(CLE)",Add,G,22,3,59,34.7,22.5,3.7,5.9,0.4,1.5,0.47,0.39,0.86,0.6,3.1,3.2,24.3,94,42.1,1.21
PA�,"Tim Duncan
(SAS)",Add,FC,38,17,69,30.1,17.8,9.9,2.7,2.6,0.7,0.5,0.29,0.82,1.8,8.1,2.1,32.8,94,41.7,1.38
SAN,"Josh Smith
(DET)",Add,F,28,10,76,35.3,17.5,8.4,4.2,1.8,1.2,0.5,0.3,0.52,1.8,6.7,3,54.3,90,40.6,1.15
IP�,"Monta Ellis
(DAL)",Add,G,28,9,82,37.5,19.2,3.9,6,0.4,2.1,0.45,0.29,0.77,0.5,3.3,3.1,50.8,88,40.4,1.08
GOO,"Chris Paul
(LAC)",Add,G,29,9,70,33.4,16.9,3.7,9.7,0.1,2.4,0.54,0.33,0.89,0.8,3,2.3,9,94,40.1,1.2
VAL,"Al Horford *
(ATL)",Add,FC,28,7,74,37.3,17.4,10.2,3.2,1.1,1.1,0.54,0.5,0.64,2.6,7.6,2,24.3,94,39.8,1.07
VAL,"David Lee
(GSW)",Add,F,31,9,79,36.8,18.5,11.2,3.5,0.3,0.8,0.52,0,0.8,2.7,8.5,2.6,35.3,94,39.7,1.08
GOO,"Tony Parker
(SAS)",Add,G,32,13,66,32.9,20.3,3,7.6,0.1,0.8,0.53,0.35,0.85,0.3,2.7,2.6,50.3,88,39.7,1.21
THU,"Al Jefferson
(CHA)",Add,C,29,10,78,33.1,17.8,9.2,2.1,1.1,1,0.5,0.12,0.77,2,7.2,1.3,13.3,94,39.4,1.19
,"Anderson Varejao
(CLE)",Add,C,31,10,25,36,14.1,14.4,3.4,0.6,1.5,0.49,0,0.75,5.5,8.9,1.8,85.1,76,38.9,1.08
,"Jrue Holiday *
(NOR)",Add,G,24,5,78,37.5,17.7,4.2,8,0.4,1.6,0.45,0.37,0.75,1.1,3.1,3.7,59.5,90,38.9,1.04
SPR,"Paul George *
(IND)",Add,GF,24,4,80,37.7,17.5,7.7,4.3,0.6,1.8,0.46,0.36,0.82,1.1,6.6,3,129.3,57,38.7,1.03
IP�,"John Wall
(WAS)",Add,G,24,4,49,32.7,18.5,4,7.6,0.8,1.3,0.45,0.27,0.8,0.7,3.3,3.2,17.3,94,38.7,1.18
FSA,"Dwight Howard
(HOU)",Add,C,28,10,76,35.8,17.1,12.4,1.4,2.4,1.1,0.58,0.17,0.49,3.3,9.1,3,11.3,90,38.3,1.07
VIC,"Deron Williams *
(BKL)",Add,G,30,9,78,36.4,18.9,3,7.7,0.4,1,0.48,0.38,0.86,0.4,2.6,2.8,65.6,76,38,1.04
VI�,"Brook Lopez *
(BKL)",Add,C,26,6,74,30.5,19.4,6.9,0.9,2.1,0.4,0.52,0,0.76,2.8,4.1,1.8,35.2,94,37.9,1.24
ILH,"Blake Griffin
(LAC)",Add,F,25,4,80,32.5,18,8.3,3.7,0.6,1.2,0.55,0.18,0.66,2.3,6,2.3,8.9,90,37.8,1.16
,"Paul Pierce
(WAS)",Add,F,36,16,78,33.5,18.6,6.3,4.8,0.4,1.1,0.47,0.38,0.79,0.6,5.7,2.8,102.8,71,37.5,1.12
NY,"Rudy Gay
(SAC)",Add,F,28,8,75,35.8,18.2,6.1,2.7,0.7,1.5,0.44,0.32,0.81,1.3,4.8,2.6,45.7,87,37.4,1.04
VAL,"Damian Lillard
(POR)",Add,G,24,2,82,38.6,19.1,3.1,6.5,0.2,0.9,0.47,0.37,0.84,0.5,2.6,3,23.2,94,37.2,0.96
NEG,"Kemba Walker
(CHA)",Add,G,24,3,82,34.7,17.7,3.5,5.7,0.4,1.9,0.46,0.32,0.8,0.7,2.7,2.4,45.4,90,36.9,1.06
CAM,"Brandon Jennings
(DET)",Add,G,24,5,80,36.2,17.5,3.1,6.5,0.1,1.6,0.41,0.37,0.82,0.7,2.3,2.5,63.2,82,36.9,1.02
ST.,"David West
(IND)",Add,F,34,11,74,33.4,17.1,7.7,2.9,0.9,1,0.5,0.21,0.77,2,5.7,2.2,64.5,88,36.3,1.09
BJ,"Rajon Rondo
(BOS)",Add,G,28,8,38,37.4,13.7,5.6,11,0.2,1.8,0.51,0.24,0.65,1.1,4.4,3.9,40.1,90,36.2,0.97
IPA,"DeMarcus Cousins
(SAC)",Add,C,24,4,75,30.5,17.1,10,2.7,0.7,1.4,0.47,0.17,0.74,3,7,3,8.8,94,36.2,1.19
GOO,"Greg Monroe
(DET)",Add,FC,24,4,81,33.2,16,9.6,3.5,0.7,1.3,0.49,0,0.69,2.9,6.7,2.9,37.6,88,36.1,1.09
,"JR Smith
(NYK)",Add,G,29,10,80,33.5,18.1,5.3,2.7,0.3,1.2,0.46,0.36,0.76,0.8,4.5,1.7,106.3,61,35.8,1.07
BJ,"Zach Randolph
(MEM)",Add,F,33,13,76,34.2,15.4,11.2,1.4,0.4,0.8,0.47,0.09,0.75,4.1,7.2,2,37.5,90,35.6,1.04
,"Luol Deng
(MIA)",Add,F,29,10,75,38.7,16.5,6.3,3,0.4,1.1,0.45,0.32,0.82,2.2,4.2,1.9,65.8,83,35.6,0.92
THU,"Dirk Nowitzki
(DAL)",Add,F,36,16,53,31.4,17.3,6.8,2.5,0.7,0.7,0.49,0.41,0.86,0.7,6.2,1.3,22.6,95,35.5,1.13
ENG,"Carlos Boozer
(LAL)",Add,F,32,12,79,32.3,16.2,9.8,2.3,0.4,0.8,0.48,0,0.73,2.2,7.5,2.2,80.9,87,34.7,1.08
IPA,"Ty Lawson
(DEN)",Add,G,26,5,73,34.4,16.7,2.7,6.8,0.1,1.5,0.49,0.37,0.76,0.5,2.2,2.5,39.8,90,34.7,1.01
SIX,"Joakim Noah *
(CHI)",Add,C,29,7,66,36.7,11.9,11.1,4,2.1,1.2,0.48,0,0.75,3.9,7.2,2.7,22.6,95,33.9,0.92
ENG,"Pau Gasol *
(CHI)",Add,FC,34,13,49,33.8,13.7,8.6,4.1,1.2,0.5,0.48,0.29,0.7,2.3,6.3,2.1,24.5,94,33.7,1
NEG,"Chris Bosh
(MIA)",Add,FC,30,11,74,33.2,16.6,6.8,1.7,1.4,0.9,0.56,0.28,0.8,1.8,5,1.7,28.3,87,33.7,1.01
ENG,"Marc Gasol
(MEM)",Add,C,29,6,80,35,14.1,7.8,4,1.7,1,0.5,0.07,0.85,2.3,5.5,2,33.9,95,33.1,0.95
ILH,"Nicolas Batum
(POR)",Add,GF,25,6,73,38.4,14.3,5.6,4.9,1.1,1.2,0.48,0.37,0.85,1.3,4.3,2.6,47.9,88,33,0.86
SAN,"Nikola Pekovic
(MIN)",Add,C,28,4,62,31.6,16.3,8.8,0.9,0.8,0.7,0.52,0,0.74,3.7,5.1,1.6,43.6,90,33,1.04
VI�,"DeMar DeRozan
(TOR)",Add,GF,25,5,82,36.7,18.1,3.9,2.5,0.3,0.9,0.46,0.28,0.83,0.6,3.3,1.8,28.7,94,32.8,0.89
,"Danilo Gallinari *
(DEN)",Add,F,26,6,71,32.5,16.2,5.2,2.5,0.5,0.9,0.45,0.37,0.82,0.9,4.3,1.6,99.1,52,32.6,1
,"Jameer Nelson
(DAL)",Add,G,32,10,56,35.3,14.7,3.7,7.4,0.1,1.3,0.44,0.34,0.87,0.4,3.3,2.8,132.9,52,32.5,0.92
,"Greivis Vasquez
(TOR)",Add,G,27,4,78,34.4,13.9,4.3,9,0.1,0.8,0.46,0.34,0.81,0.6,3.8,3.2,138.1,50,32.5,0.94
,"Kevin Garnett
(BKL)",Add,FC,38,19,69,29.9,14.7,7.8,2.4,0.9,1.1,0.5,0.12,0.79,1.1,6.7,1.6,127.6,68,32.4,1.08
VIC,"Nikola Vucevic *
(ORL)",Add,C,23,3,77,33.2,13.1,11.9,1.8,1,0.8,0.52,0,0.68,3.5,8.4,1.8,38.1,94,32.4,0.97
BH,"Thaddeus Young
(MIN)",Add,F,26,7,76,34.6,14.8,7.5,1.6,0.7,1.8,0.53,0.13,0.57,2.4,5.1,1.2,56.4,83,32.4,0.94
,"Andre Iguodala
(GSW)",Add,GF,30,10,80,34.8,13,5.3,5.4,0.6,1.7,0.52,0.32,0.57,1,4.3,2.6,88.7,69,32,0.92
,"Joe Johnson
(BKL)",Add,GF,33,13,72,36.7,16.2,3,3.5,0.2,0.7,0.45,0.37,0.82,0.7,2.3,1.7,96.3,64,31.9,0.87
MAC,"Mike Conley
(MEM)",Add,G,26,7,80,34.5,14.6,2.8,6.1,0.3,2.1,0.48,0.36,0.83,0.5,2.3,2.4,58.9,83,31.9,0.93
PRO,"Chandler Parsons
(DAL)",Add,F,25,3,76,36.1,15.5,5.3,3.5,0.4,1,0.56,0.38,0.73,1,4.2,1.9,61.1,90,31.9,0.88
FSA,"Goran Dragic
(PHO)",Add,G,28,6,77,33.5,14.7,3.1,7.4,0.3,1.6,0.5,0.32,0.75,0.8,2.3,2.8,34,95,31.6,0.94
IP�,"Ryan Anderson *
(NOR)",Add,F,26,6,82,30.6,16,6.3,1.2,0.4,0.5,0.47,0.38,0.84,2.3,4,1.2,69.9,82,31.5,1.03
,"Glen Davis
(LAC)",Add,FC,28,7,34,31.3,15.1,7.2,2.1,0.6,0.9,0.45,0,0.72,1.6,5.6,1.9,151.1,40,31.5,1.01
VAL,"Paul Millsap
(ATL)",Add,F,29,8,78,30.4,14.6,7.1,2.6,1,1.3,0.5,0.33,0.74,2.3,4.8,1.8,26.1,94,31.3,1.03
SIX,"Klay Thompson
(GSW)",Add,G,24,3,82,35.8,16.6,3.7,2.2,0.5,1,0.44,0.4,0.84,0.4,3.3,1.9,76.8,80,30.9,0.86
VAL,"Jeff Teague
(ATL)",Add,G,26,5,80,32.9,14.6,2.2,7.2,0.4,1.5,0.48,0.36,0.88,0.3,1.9,2.9,63.4,82,30.8,0.94
,"George Hill
(IND)",Add,G,28,6,77,34.5,14.2,3.8,4.6,0.3,1.1,0.5,0.37,0.82,0.6,3.1,1.5,105,56,30.4,0.88
,"Raymond Felton *
(DAL)",Add,G,30,9,68,34,13.9,2.9,5.5,0.2,1.4,0.46,0.36,0.79,0.8,2.1,2.3,160.7,44,30.3,0.89
BH,"Anthony Davis *
(NOR)",Add,FC,21,2,64,28.9,13.5,8.2,1,1.8,1.2,0.52,0,0.75,2.6,5.6,1.4,5.5,94,30.3,1.05
FSA,"Arron Afflalo
(DEN)",Add,GF,28,7,64,36.1,16.5,3.7,3.2,0.2,0.6,0.49,0.3,0.86,0.5,3.3,2.2,84.6,69,30.2,0.84
,"Jamal Crawford
(LAC)",Add,G,34,14,76,29.4,16.5,1.7,2.5,0.2,1,0.48,0.38,0.87,0.3,1.4,1.9,85.5,69,29.9,1.02
,"Evan Turner
(BOS)",Add,GF,25,4,82,35.3,13.3,6.3,4.3,0.2,0.9,0.43,0.36,0.74,0.7,5.6,2.3,97.5,68,29.8,0.84
,"OJ Mayo
(MIL)",Add,G,26,6,82,35.6,15.3,3.5,4.4,0.3,1.1,0.47,0.41,0.82,0.4,3.1,2.5,152.2,50,29.8,0.84
LAV,"Serge Ibaka
(OKL)",Add,FC,24,5,80,31,13.3,7.7,0.6,3,0.4,0.59,0.36,0.74,2.8,4.9,1.6,26.8,95,29.7,0.96
,"Eric Gordon *
(NOR)",Add,G,25,6,42,30.2,17,1.8,3.3,0.2,1.1,0.44,0.32,0.84,0.2,1.6,2.8,112.9,56,29.6,0.98
SPR,"Tyreke Evans *
(NOR)",Add,GF,24,5,66,30.5,15,4.3,3.5,0.4,1.4,0.51,0.34,0.77,0.8,3.5,1.9,64.5,83,29.6,0.97
,"Shawn Marion
(CLE)",Add,F,36,15,67,30,12.1,7.8,2.4,0.7,1.1,0.54,0.32,0.78,2.2,5.7,1.5,135.8,52,29,0.97
,"JJ Hickson *
(DEN)",Add,FC,26,6,80,29,12.7,10.3,1.1,0.6,0.6,0.56,0,0.68,3.3,7,1.8,84.3,82,28.9,1
,"Gerald Henderson *
(CHA)",Add,GF,26,5,68,31.4,15.5,3.7,2.6,0.5,1,0.46,0.33,0.82,0.8,2.9,1.6,119.8,45,28.7,0.92
BJ,"Roy Hibbert
(IND)",Add,C,27,6,80,28.8,11.9,8.3,1.4,2.6,0.5,0.45,0.25,0.74,3.8,4.5,2,70.5,80,28.7,1
,"Ersan Ilyasova *
(MIL)",Add,F,27,6,73,27.6,13.2,7.1,1.6,0.5,0.9,0.47,0.44,0.8,2.1,5,1,133.7,50,28.5,1.03
VIS,"Jeremy Lin
(LAL)",Add,G,26,4,82,32.2,13.3,3,6,0.4,1.6,0.48,0.34,0.79,0.4,2.6,2.9,121.7,63,28.2,0.88
,"Andrei Kirilenko
(BKL)",Add,F,33,12,64,31.8,12.4,5.7,2.8,1,1.5,0.57,0.29,0.75,1.6,4.1,1.9,147.8,33,27.9,0.88
,"Jarrett Jack
(BKL)",Add,G,30,9,79,29.8,12.9,3.1,5.5,0.1,0.8,0.47,0.4,0.84,0.3,2.8,2,166.1,45,27.5,0.92
NEG,"Bradley Beal
(WAS)",Add,G,21,2,56,31.2,13.9,3.8,2.5,0.5,0.9,0.42,0.39,0.79,0.8,3,1.6,68,83,27.4,0.88
,"Dion Waiters
(CLE)",Add,G,22,2,61,28.8,14.7,2.4,3,0.3,1,0.45,0.31,0.75,0.4,2.1,2,131.3,63,27.4,0.95
,"Lou Williams
(TOR)",Add,G,27,9,39,28.7,14.1,2.1,3.6,0.3,1.1,0.47,0.37,0.87,0.2,1.8,1.9,192.4,40,27.3,0.95
,"Tristan Thompson
(CLE)",Add,F,23,3,82,31.3,11.7,9.4,1.3,0.9,0.7,0.49,0,0.61,3.7,5.7,1.5,109.1,56,27.3,0.87
VIS,"Kyle Lowry
(TOR)",Add,G,28,8,68,29.8,11.6,4.7,6.4,0.4,1.4,0.43,0.36,0.8,0.8,3.9,2.3,30.5,94,27.3,0.92
MAC,"Kenneth Faried
(DEN)",Add,F,24,3,80,28.1,11.5,9.2,1,1.1,1,0.55,0,0.61,3.3,5.9,1.4,44.4,83,27.2,0.97
,"Wes Matthews
(POR)",Add,GF,27,5,69,34.8,14.8,2.8,2.5,0.3,1.3,0.48,0.4,0.8,0.5,2.3,1.6,99.3,61,27.2,0.78
,"Larry Sanders *
(MIL)",Add,C,25,4,71,27.3,9.8,9.5,1.2,2.8,0.7,0.51,0,0.62,3.2,6.3,1.2,100.1,64,27.1,0.99
PRO,"Kawhi Leonard
(SAS)",Add,GF,23,3,58,31.2,11.9,6,1.6,0.6,1.7,0.55,0.37,0.83,1.1,4.9,1.1,46.5,82,27.1,0.87
ST.,"Ricky Rubio
(MIN)",Add,G,23,3,57,29.6,10.7,4,7.3,0.1,2.4,0.37,0.29,0.8,0.8,3.2,3,57.5,94,27.1,0.91
CAM,"Gordon Hayward
(UTA)",Add,GF,24,4,72,29.3,14.1,3.1,3,0.5,0.8,0.44,0.41,0.83,0.7,2.4,1.7,50.2,87,27.1,0.93
,"Ramon Sessions
(*FA)",Add,G,28,7,61,27,14.4,2.8,3.8,0.1,0.8,0.43,0.31,0.84,0.4,2.3,1.7,202,44,27,1
,"Steve Nash *
(LAL)",Add,G,40,18,50,32.6,12.7,2.8,6.7,0.1,0.6,0.52,0.44,0.92,0.5,2.3,2.5,180.7,45,26.8,0.82
MAC,"Marcin Gortat
(WAS)",Add,C,30,7,61,30.8,11.1,8.5,1.2,1.6,0.7,0.52,0,0.65,2.1,6.4,1.6,50.7,87,26.6,0.86
,"Nene Hilario
(WAS)",Add,FC,32,12,61,27.1,12.6,6.7,2.9,0.6,0.9,0.48,0,0.73,1.7,5,2.3,68.3,88,26.4,0.97
,"Mo Williams
(MIN)",Add,G,31,11,47,30.1,12.6,2.3,6.1,0.2,1,0.45,0.38,0.88,0.5,1.8,2.7,193.8,38,26.3,0.87
,"JJ Redick
(LAC)",Add,G,30,8,77,30.6,14.2,2.2,3.8,0.1,0.5,0.51,0.37,0.9,0.2,2,1.8,134.9,52,26.2,0.86
,"Omer Asik
(NOR)",Add,C,28,4,82,30,10.1,11.6,0.9,1,0.6,0.54,0,0.56,3.4,8.3,2.1,96.8,68,26.2,0.87
,"Luis Scola
(IND)",Add,FC,34,7,82,26.6,12.8,6.6,2.2,0.4,0.8,0.48,0.19,0.79,1.9,4.7,1.5,135.2,52,26.2,0.98
,"Vince Carter
(MEM)",Add,GF,37,16,81,25.8,13.4,4.1,2.4,0.5,0.9,0.46,0.41,0.82,0.7,3.4,1.3,124.6,64,26.2,1.01
,"Tyson Chandler
(DAL)",Add,C,31,13,66,32.8,10.4,10.6,0.9,1.2,0.6,0.64,0,0.69,4.1,6.6,1.3,83.2,75,26,0.79
BH,"Brandon Knight
(MIL)",Add,G,22,3,75,31.5,13.3,3.3,4,0.1,0.8,0.43,0.37,0.73,0.7,2.6,2.7,70.8,75,25.9,0.82
BEL,"Isaiah Thomas
(PHO)",Add,G,25,3,78,27.2,14.1,2.1,4.1,0,0.9,0.49,0.36,0.88,0.4,1.7,1.8,53.6,94,25.7,0.94
,"Nate Robinson *
(DEN)",Add,G,30,9,82,25.5,13.1,2.2,4.4,0.1,1,0.45,0.41,0.8,0.4,1.9,1.8,201.4,49,25.7,1.01
THU,"Manu Ginobili *
(SAS)",Remove,G,37,12,60,23.2,11.8,3.4,4.6,0.2,1.3,0.48,0.35,0.8,0.5,2.9,2.2,89.6,88,25.7,1.1
,"Jose Calderon
(NYK)",Add,G,32,9,73,29.6,11.3,2.4,7.1,0.1,0.8,0.52,0.46,0.9,0.3,2.1,1.7,99.1,64,25.6,0.87
,"Wilson Chandler
(DEN)",Add,F,27,7,43,25.1,13,5.1,1.3,0.3,1.1,0.48,0.41,0.79,1.1,4,1.4,143.6,56,25.5,1.02
MAC,"Spencer Hawes
(LAC)",Add,C,26,7,82,27.2,11,7.2,2.2,1.4,0.3,0.48,0.36,0.78,2.1,5.1,1.6,80.9,80,25.4,0.93
,"Darren Collison
(SAC)",Add,G,27,5,81,29.3,12,2.7,5.1,0.1,1.2,0.5,0.35,0.88,0.4,2.3,2.1,113.2,52,24.8,0.85
,"Emeka Okafor
(*FA)",Add,C,31,10,79,26,9.7,8.7,1.2,1,0.6,0.48,0,0.57,2.5,6.2,1.4,137.5,19,24.6,0.95
,"Kevin Martin
(MIN)",Add,G,31,10,77,27.7,14,2.4,1.3,0.1,0.9,0.47,0.42,0.89,0.4,2,1.3,91.4,68,24.4,0.88
,"Jeff Green
(BOS)",Add,F,27,6,82,28,13,4,1.6,0.9,0.7,0.49,0.39,0.81,0.7,3.3,1.7,94.2,61,24.3,0.87
,"Byron Mullens
(*FA)",Add,FC,25,5,53,26.9,10.6,6.3,1.5,0.6,0.6,0.43,0.32,0.65,1.3,5,1.4,138.2,18,24.2,0.9
,"Corey Brewer
(MIN)",Add,GF,28,7,82,24.5,12.1,2.9,1.5,0.3,1.4,0.49,0.3,0.69,0.7,2.2,1.2,165.2,45,24.1,0.98
,"Andrea Bargnani *
(NYK)",Add,FC,28,8,35,28.7,12.7,3.7,1.1,0.7,0.6,0.44,0.31,0.84,0.7,2.9,1.5,107.6,56,24,0.84
,"Derrick Williams
(SAC)",Add,F,23,3,78,24.6,11.9,5.5,0.6,0.5,0.6,0.46,0.33,0.7,1.2,4.3,1.3,191.2,38,23.9,0.97
,"Tayshaun Prince
(MEM)",Add,F,34,12,82,32.1,10.4,4.4,2.4,0.3,0.6,0.44,0.4,0.74,0.9,3.6,1.1,161.3,18,23.4,0.73
,"Amare Stoudemire
(NYK)",Add,FC,31,12,29,23.6,14.2,5,0.4,0.7,0.3,0.58,0,0.81,2.1,2.9,1.7,118.7,64,23.4,0.99
,"Marcus Thornton
(BOS)",Add,G,27,5,72,24,12.7,2.5,1.3,0.1,0.8,0.48,0.37,0.88,0.7,1.8,0.9,248.5,38,23.2,0.97
,"Robin Lopez
(POR)",Add,C,26,6,82,26.1,11.3,5.6,0.8,1.6,0.4,0.53,0,0.78,2.8,2.9,1.3,86.7,76,23.2,0.89
,"Tiago Splitter
(SAS)",Add,FC,29,4,81,24.6,10.3,6.4,1.6,0.8,0.8,0.56,0,0.73,1.8,4.6,1.2,102,76,23.1,0.94
,"Jason Richardson *
(PHI)",Add,G,33,13,33,28.5,10.5,3.8,1.5,0.5,1.2,0.46,0.34,0.61,0.6,3.3,0.8,251.6,6,23.1,0.81
,"Rodney Stuckey
(IND)",Add,G,28,7,76,28.5,11.5,2.8,3.6,0.2,0.7,0.44,0.3,0.78,0.6,2.2,1.8,128.8,50,22.9,0.8
,"Amir Johnson
(TOR)",Add,FC,27,9,81,28.7,10,7.6,1.5,1.4,1,0.56,0.38,0.73,2.8,4.7,1.4,111.3,61,22.8,0.79
,"Jason Thompson
(SAC)",Add,FC,28,6,82,27.9,10.9,6.7,1,0.7,0.6,0.5,0,0.69,2.1,4.6,1.2,146.9,45,22.6,0.81
,"JJ Barea
(MIN)",Add,G,30,8,74,23.2,11.3,2.8,4,0,0.4,0.46,0.35,0.78,0.5,2.3,2,205.3,49,22.5,0.97
,"Tobias Harris
(ORL)",Add,F,22,3,55,23.6,11,5.2,1.3,0.8,0.6,0.49,0.31,0.75,1.3,3.9,1.2,89,69,22.4,0.95
,"Jordan Crawford
(GSW)",Add,G,25,4,71,24.3,11.5,3,3.2,0.1,0.5,0.46,0.34,0.81,0.6,2.3,2,177.8,44,22.4,0.92
,"Kyle Korver
(ATL)",Add,GF,33,11,74,30.5,10.9,4,2,0.5,0.9,0.47,0.46,0.86,0.3,3.6,0.9,124.4,63,22.2,0.73
,"Danny Green
(SAS)",Add,GF,27,5,80,27.5,10.5,3,1.8,0.7,1.1,0.48,0.43,0.85,0.5,2.6,1.2,134.5,57,22,0.8
,"Trevor Ariza
(HOU)",Add,F,29,10,56,26.3,9.5,4.8,2,0.4,1.3,0.46,0.36,0.82,0.8,4,1.5,86.7,75,21.9,0.83
IPA,"Derrick Favors
(UTA)",Add,FC,23,4,77,23.2,9.4,7.1,1,1.7,0.9,0.49,0,0.69,2.4,4.7,1.7,44.3,94,21.9,0.94
,"Matt Barnes
(LAC)",Add,F,34,11,80,25.8,10.3,4.6,1.5,0.8,1,0.57,0.34,0.74,1.4,3.2,1.1,203,44,21.9,0.85
,"Andray Blatche
(*FA)",Add,FC,28,9,82,19,10.3,5.1,1,0.7,1,0.52,0.14,0.69,2,3.1,1.5,115.8,69,21.5,1.13
,"Martell Webster *
(WAS)",Add,GF,27,9,76,28.9,11.4,3.9,1.9,0.2,0.7,0.46,0.42,0.85,0.7,3.2,1.2,246,33,21.5,0.74
,"Chris Kaman
(POR)",Add,C,32,11,66,20.7,10.5,5.6,0.8,0.8,0.5,0.51,0,0.79,1.5,4.2,1.6,145.4,52,21.1,1.02
,"Mike Dunleavy
(CHI)",Add,GF,34,13,75,25.9,10.5,3.9,1.9,0.5,0.5,0.46,0.43,0.82,0.4,3.5,1.2,166.3,45,21,0.81
,"Patrick Patterson
(TOR)",Add,F,25,4,71,25,10.4,4.7,1.1,0.6,0.4,0.54,0.39,0.76,1.6,3.2,0.9,188,49,20.9,0.84
,"Carl Landry *
(SAC)",Add,F,30,7,81,23.2,10.8,6,0.8,0.4,0.4,0.54,0.33,0.82,2.2,3.7,1.4,244,37,20.7,0.89
PN,"DeAndre Jordan
(LAC)",Add,C,26,6,82,24.5,8.8,7.2,0.3,1.4,0.6,0.64,0,0.39,2.6,4.7,1.2,37.8,88,20.7,0.85
LAV,"Andre Drummond
(DET)",Add,C,21,2,60,20.7,7.9,7.6,0.5,1.6,1,0.61,0.5,0.37,2.8,4.8,1,18.3,94,20.6,1
,"Dorell Wright
(POR)",Add,F,28,10,79,22.6,9.2,3.8,1.9,0.4,0.8,0.43,0.37,0.85,0.5,3.3,0.8,195.8,26,20.5,0.91
,"Alonzo Gee
(HOU)",Add,F,27,5,82,31,10.3,3.9,1.6,0.4,1.3,0.45,0.32,0.8,0.9,3,1.6,193.1,11,20.5,0.66
,"Devin Harris
(DAL)",Add,G,31,10,58,24.5,9.9,2,3.4,0.2,1.1,0.55,0.33,0.73,0.1,1.9,1.5,194.2,38,20.4,0.83
,"Shannon Brown
(MIA)",Add,G,28,8,59,23.8,10.5,2.5,1.8,0.3,1,0.47,0.28,0.78,0.7,1.8,1.3,220.6,7,20.4,0.86
,"Michael Kidd-Gilchrist
(CHA)",Add,F,20,2,78,26.1,9,5.8,1.5,0.9,0.7,0.46,0.22,0.75,1.7,4.2,1.3,180.4,45,20.4,0.78
VAL,"Eric Bledsoe
(PHO)",Add,G,24,4,76,20.4,8.5,3,3.1,0.7,1.4,0.45,0.4,0.79,1,1.9,1.8,56.5,88,20.2,0.99
PET,"Tony Allen
(MEM)",Add,G,32,10,79,26.7,8.9,4.6,1.2,0.6,1.5,0.46,0.13,0.72,1.6,3.1,1.2,197.2,45,20,0.75
VI�,"Lance Stephenson
(CHA)",Add,G,24,4,79,29.3,8.9,3.9,2.9,0.2,1.1,0.52,0.33,0.65,0.6,3.3,1.4,56.9,83,20,0.68
,"Caron Butler
(DET)",Add,F,34,12,78,24.1,10.4,2.9,1,0.1,0.7,0.45,0.39,0.83,0.5,2.3,0.9,206,33,19.9,0.83
,"CJ Miles
(IND)",Add,G,27,9,65,21,11.2,2.7,1,0.3,0.8,0.45,0.38,0.87,0.4,2.3,1.1,222.3,44,19.9,0.95
,"Nick Young
(LAL)",Add,GF,29,7,59,24,10.6,2.2,1.4,0.2,0.6,0.45,0.36,0.82,0.4,1.8,0.8,110.5,63,19.9,0.83
,"Al-Farouq Aminu
(DAL)",Add,F,23,4,76,27.2,7.3,7.7,1.3,0.7,1.2,0.49,0.21,0.74,1.8,5.9,1.5,195,38,19.7,0.73
